LAT,LON,TIME,WIND,PR,STAT
12.80,133.30,09/30/06Z,25,-,TROPICAL DEPRESSION
13.10,133.30,09/30/20Z,25,-,TROPICAL DEPRESSION
14.00,132.60,10/01/02Z,30,-,TROPICAL DEPRESSION
14.10,132.10,10/30/18Z,40,-,TROPICAL STORM
14.80,131.70,10/01/14Z,40,-,TROPICAL STORM
15.30,131.40,10/01/20Z,45,-,TROPICAL STORM
16.40,131.30,10/02/02Z,50,-,TROPICAL STORM
17.30,131.10,10/01/18Z,50,-,TROPICAL STORM
18.20,130.10,10/02/14Z,60,-,TROPICAL STORM
18.70,129.90,10/02/20Z,60,-,TROPICAL STORM
19.00,129.80,10/02/12Z,60,-,TROPICAL STORM
19.50,129.60,10/02/18Z,60,-,TROPICAL STORM
20.00,129.50,10/03/00Z,60,-,TROPICAL STORM
20.60,129.50,10/03/06Z,60,-,TROPICAL STORM
21.10,129.50,10/03/12Z,65,-,TYPHOON-1
22.00,129.70,10/03/18Z,80,-,TYPHOON-1
22.20,129.80,10/04/00Z,80,-,TYPHOON-1
22.70,129.70,10/04/06Z,85,-,TYPHOON-2
23.20,129.20,10/04/12Z,85,-,TYPHOON-2
23.70,128.50,10/04/18Z,85,-,TYPHOON-2
24.40,127.60,10/05/00Z,90,-,TYPHOON-2
24.60,127.00,10/05/06Z,90,-,TYPHOON-2
25.00,125.90,10/05/12Z,90,-,TYPHOON-2
25.40,124.60,10/05/18Z,85,-,TYPHOON-2
25.70,123.60,10/06/00Z,75,-,TYPHOON-1
26.00,123.10,10/06/06Z,70,-,TYPHOON-1
27.00,121.70,10/06/12Z,65,-,TYPHOON-1
27.40,120.30,10/06/18Z,55,-,TROPICAL STORM
