LAT,LON,TIME,WIND,PR,STAT
15.00,116.10,07/31/00Z,30,-,TROPICAL DEPRESSION
15.20,115.50,07/31/06Z,30,-,TROPICAL DEPRESSION
15.20,114.80,07/31/12Z,35,-,TROPICAL STORM
15.30,114.50,07/31/18Z,35,-,TROPICAL STORM
15.50,114.00,08/01/00Z,35,-,TROPICAL STORM
16.20,113.60,08/01/06Z,35,-,TROPICAL STORM
16.70,113.10,08/01/12Z,40,-,TROPICAL STORM
17.00,113.30,08/01/18Z,45,-,TROPICAL STORM
17.80,112.80,08/02/00Z,45,-,TROPICAL STORM
18.80,111.70,08/02/06Z,60,-,TROPICAL STORM
19.80,110.60,08/02/12Z,50,-,TROPICAL STORM
20.50,109.20,08/02/18Z,50,-,TROPICAL STORM
21.10,108.20,08/03/00Z,50,-,TROPICAL STORM
21.80,106.40,08/03/06Z,45,-,TROPICAL STORM
