LAT,LON,TIME,WIND,PR,STAT
15.90,126.00,08/26/00Z,25,-,TROPICAL DEPRESSION
16.30,124.80,08/26/06Z,25,-,TROPICAL DEPRESSION
17.30,124.10,08/26/12Z,35,-,TROPICAL STORM
17.70,123.90,08/26/18Z,35,-,TROPICAL STORM
18.50,123.90,08/27/00Z,35,-,TROPICAL STORM
19.30,123.80,08/27/06Z,45,-,TROPICAL STORM
20.10,123.70,08/27/12Z,50,-,TROPICAL STORM
20.80,123.20,08/27/18Z,50,-,TROPICAL STORM
21.40,122.90,08/28/00Z,50,-,TROPICAL STORM
21.70,122.80,08/28/06Z,50,-,TROPICAL STORM
22.40,122.80,08/28/12Z,50,-,TROPICAL STORM
23.70,122.60,08/28/18Z,55,-,TROPICAL STORM
25.10,122.40,08/29/00Z,50,-,TROPICAL STORM
26.20,122.40,08/29/06Z,40,-,TROPICAL STORM
26.60,122.30,08/29/12Z,40,-,TROPICAL STORM
27.00,122.70,08/29/18Z,40,-,TROPICAL STORM
28.70,123.60,08/30/00Z,35,-,TROPICAL STORM
29.90,124.50,08/30/06Z,30,-,TROPICAL DEPRESSION
30.90,125.50,08/30/12Z,30,-,TROPICAL DEPRESSION
31.80,127.00,08/30/18Z,30,-,TROPICAL DEPRESSION
33.60,129.50,08/31/00Z,30,-,TROPICAL DEPRESSION
