LAT,LON,TIME,WIND,PR,STAT
10.30,160.60,10/20/12Z,25,-,TROPICAL DEPRESSION
10.60,160.40,10/21/01Z,25,-,TROPICAL DEPRESSION
10.80,160.80,10/20/18Z,30,-,TROPICAL DEPRESSION
11.90,160.60,10/21/14Z,40,-,TROPICAL STORM
12.70,160.10,10/21/20Z,45,-,TROPICAL STORM
13.60,159.40,10/22/02Z,55,-,TROPICAL STORM
13.80,159.10,10/21/18Z,65,-,TYPHOON-1
15.00,158.20,10/22/00Z,75,-,TYPHOON-1
16.20,156.80,10/22/06Z,105,-,TYPHOON-3
17.10,155.40,10/22/12Z,125,-,SUPER TYPHOON-4
18.00,153.90,10/22/18Z,140,-,SUPER TYPHOON-5
18.60,152.20,10/23/00Z,140,-,SUPER TYPHOON-5
19.00,150.90,10/23/06Z,140,-,SUPER TYPHOON-5
19.40,149.80,10/23/12Z,140,-,SUPER TYPHOON-5
19.90,148.70,10/23/18Z,140,-,SUPER TYPHOON-5
20.50,147.60,10/24/00Z,140,-,SUPER TYPHOON-5
21.40,146.50,10/24/06Z,130,-,SUPER TYPHOON-4
22.50,145.60,10/24/12Z,130,-,SUPER TYPHOON-4
23.60,144.60,10/24/18Z,115,-,TYPHOON-4
25.00,144.30,10/25/00Z,115,-,TYPHOON-4
27.00,144.50,10/25/06Z,105,-,TYPHOON-3
29.40,145.00,10/25/12Z,100,-,TYPHOON-3
31.40,146.60,10/25/18Z,90,-,TYPHOON-2
34.30,148.90,10/26/00Z,75,-,TYPHOON-1
36.90,152.40,10/26/06Z,70,-,TYPHOON-1
