LAT,LON,TIME,WIND,PR,STAT
12.30,179.40,08/18/20Z,55,-,TROPICAL STORM
12.80,178.70,08/19/02Z,50,-,TROPICAL STORM
13.20,178.40,08/19/08Z,55,-,TROPICAL STORM
13.70,178.00,08/19/14Z,60,-,TROPICAL STORM
13.90,177.90,08/19/06Z,65,-,TYPHOON-1
14.60,177.30,08/19/12Z,65,-,TYPHOON-1
15.20,175.80,08/20/08Z,60,-,TROPICAL STORM
15.70,175.20,08/20/14Z,55,-,TROPICAL STORM
16.50,174.30,08/20/20Z,45,-,TROPICAL STORM
17.50,173.40,08/21/02Z,50,-,TROPICAL STORM
18.80,172.60,08/21/08Z,45,-,TROPICAL STORM
19.10,171.40,08/21/14Z,45,-,TROPICAL STORM
19.80,170.90,08/21/20Z,35,-,TROPICAL STORM
20.90,170.40,08/22/02Z,35,-,TROPICAL STORM
21.40,169.80,08/22/08Z,35,-,TROPICAL STORM
22.00,169.80,08/22/00Z,35,-,TROPICAL STORM
23.60,169.30,08/22/20Z,35,-,TROPICAL STORM
24.80,168.90,08/23/02Z,35,-,TROPICAL STORM
25.50,169.00,08/22/18Z,35,-,TROPICAL STORM
26.70,168.30,08/23/00Z,35,-,TROPICAL STORM
26.40,168.30,08/23/06Z,30,-,TROPICAL DEPRESSION
26.70,168.60,08/23/12Z,30,-,TROPICAL DEPRESSION
27.10,168.40,08/23/18Z,30,-,TROPICAL DEPRESSION
27.60,169.30,08/24/00Z,30,-,TROPICAL DEPRESSION
27.80,168.90,08/24/06Z,30,-,TROPICAL DEPRESSION
28.10,168.10,08/24/12Z,30,-,TROPICAL DEPRESSION
28.20,167.60,08/24/18Z,30,-,TROPICAL DEPRESSION
28.50,166.70,08/25/00Z,25,-,TROPICAL DEPRESSION
