LAT,LON,TIME,WIND,PR,STAT
17.60,132.10,09/16/18Z,25,-,TROPICAL DEPRESSION
17.50,131.70,09/17/00Z,30,-,TROPICAL DEPRESSION
17.60,131.10,09/17/20Z,35,-,TROPICAL STORM
17.60,130.60,09/18/02Z,40,-,TROPICAL STORM
17.60,130.00,09/18/08Z,50,-,TROPICAL STORM
17.30,130.30,09/18/00Z,50,-,TROPICAL STORM
17.30,130.00,09/18/06Z,55,-,TROPICAL STORM
17.30,129.70,09/18/12Z,65,-,TYPHOON-1
17.20,128.60,09/18/18Z,90,-,TYPHOON-2
17.00,128.10,09/19/00Z,90,-,TYPHOON-2
17.60,128.00,09/19/06Z,120,-,TYPHOON-4
18.20,127.30,09/19/12Z,140,-,SUPER TYPHOON-5
18.70,126.40,09/19/18Z,140,-,SUPER TYPHOON-5
19.20,125.50,09/20/00Z,140,-,SUPER TYPHOON-5
19.80,124.50,09/20/06Z,135,-,SUPER TYPHOON-4
20.10,123.70,09/20/12Z,130,-,SUPER TYPHOON-4
20.40,122.80,09/20/18Z,130,-,SUPER TYPHOON-4
20.60,121.90,09/21/00Z,120,-,TYPHOON-4
20.80,120.80,09/21/06Z,120,-,TYPHOON-4
21.10,119.70,09/21/12Z,110,-,TYPHOON-3
21.40,118.90,09/21/18Z,100,-,TYPHOON-3
21.80,117.90,09/22/00Z,100,-,TYPHOON-3
22.40,116.80,09/22/06Z,95,-,TYPHOON-2
22.90,115.20,09/22/12Z,80,-,TYPHOON-1
