LAT,LON,TIME,WIND,PR,STAT
13.30,142.90,10/10/12Z,25,-,TROPICAL DEPRESSION
13.30,142.90,10/10/18Z,30,-,TROPICAL DEPRESSION
13.80,141.90,10/11/14Z,40,-,TROPICAL STORM
14.50,141.20,10/11/20Z,50,-,TROPICAL STORM
15.00,140.40,10/12/02Z,55,-,TROPICAL STORM
15.90,139.50,10/12/08Z,55,-,TROPICAL STORM
16.10,139.00,10/12/00Z,60,-,TROPICAL STORM
17.00,138.60,10/12/20Z,60,-,TROPICAL STORM
17.30,138.20,10/12/12Z,65,-,TYPHOON-1
17.80,137.90,10/12/18Z,75,-,TYPHOON-1
18.40,137.40,10/13/00Z,90,-,TYPHOON-2
19.10,137.10,10/13/06Z,100,-,TYPHOON-3
19.80,136.40,10/13/12Z,115,-,TYPHOON-4
20.50,135.90,10/13/18Z,115,-,TYPHOON-4
21.70,135.50,10/14/00Z,110,-,TYPHOON-3
23.00,134.90,10/14/06Z,105,-,TYPHOON-3
24.20,134.30,10/14/12Z,95,-,TYPHOON-2
25.60,133.90,10/14/18Z,95,-,TYPHOON-2
26.80,133.80,10/15/00Z,90,-,TYPHOON-2
28.50,134.70,10/15/06Z,80,-,TYPHOON-1
30.50,136.50,10/15/12Z,75,-,TYPHOON-1
32.70,138.90,10/15/18Z,65,-,TYPHOON-1
