LAT,LON,TIME,WIND,PR,STAT
15.00,117.00,09/26/18Z,25,-,TROPICAL DEPRESSION
15.50,117.00,09/27/00Z,30,-,TROPICAL DEPRESSION
16.90,116.40,09/27/06Z,35,-,TROPICAL STORM
17.00,115.30,09/27/12Z,35,-,TROPICAL STORM
16.90,114.20,09/27/18Z,45,-,TROPICAL STORM
16.20,114.00,09/28/00Z,55,-,TROPICAL STORM
16.70,114.10,09/28/06Z,60,-,TROPICAL STORM
16.80,113.90,09/28/12Z,65,-,TYPHOON-1
16.80,113.10,09/28/18Z,70,-,TYPHOON-1
16.70,112.40,09/29/00Z,90,-,TYPHOON-2
16.70,111.70,09/29/06Z,90,-,TYPHOON-2
16.80,110.90,09/29/12Z,85,-,TYPHOON-2
17.00,109.90,09/29/18Z,80,-,TYPHOON-1
17.20,108.50,09/30/00Z,75,-,TYPHOON-1
17.50,107.50,09/30/06Z,90,-,TYPHOON-2
17.80,105.90,09/30/12Z,80,-,TYPHOON-1
