LAT,LON,TIME,WIND,PR,STAT
21.90,139.00,09/06/18Z,30,-,TROPICAL DEPRESSION
22.90,138.60,09/07/00Z,30,-,TROPICAL DEPRESSION
24.00,138.40,09/07/06Z,30,-,TROPICAL DEPRESSION
24.70,138.50,09/07/12Z,35,-,TROPICAL STORM
25.70,138.50,09/07/18Z,35,-,TROPICAL STORM
27.50,138.20,09/08/00Z,45,-,TROPICAL STORM
29.10,138.30,09/08/06Z,45,-,TROPICAL STORM
31.20,138.30,09/08/12Z,45,-,TROPICAL STORM
33.30,138.00,09/08/18Z,55,-,TROPICAL STORM
34.80,137.20,09/09/00Z,50,-,TROPICAL STORM
37.00,136.30,09/09/06Z,35,-,TROPICAL STORM
