LAT,LON,TIME,WIND,PR,STAT
10.50,157.70,02/07/06Z,25,-,TROPICAL DEPRESSION
10.60,157.50,02/07/20Z,25,-,TROPICAL DEPRESSION
11.10,157.50,02/08/02Z,30,-,TROPICAL DEPRESSION
11.80,157.60,02/08/08Z,35,-,TROPICAL STORM
12.10,157.40,02/08/00Z,40,-,TROPICAL STORM
12.50,156.90,02/08/19Z,50,-,TROPICAL STORM
12.30,156.60,02/09/02Z,55,-,TROPICAL STORM
12.20,156.50,02/09/08Z,-,-,TROPICAL DEPRESSION
12.30,156.40,02/09/00Z,75,-,TYPHOON-1
12.50,156.10,02/09/06Z,80,-,TYPHOON-1
12.70,155.80,02/09/12Z,85,-,TYPHOON-2
13.10,155.40,02/09/18Z,75,-,TYPHOON-1
13.70,154.70,02/10/00Z,75,-,TYPHOON-1
14.20,154.20,02/10/06Z,105,-,TYPHOON-3
14.70,154.10,02/10/12Z,100,-,TYPHOON-3
15.70,154.30,02/10/18Z,85,-,TYPHOON-2
15.60,153.10,02/11/00Z,70,-,TYPHOON-1
15.60,153.10,02/11/00Z,70,-,TYPHOON-1
15.70,152.60,02/11/20Z,-,-,TROPICAL DEPRESSION
16.00,152.40,02/11/12Z,25,-,TROPICAL DEPRESSION
