LAT,LON,TIME,WIND,PR,STAT
6.90,157.70,03/27/14Z,25,-,TROPICAL DEPRESSION
6.80,158.00,03/27/00Z,25,-,TROPICAL DEPRESSION
7.00,157.40,03/27/06Z,30,-,TROPICAL DEPRESSION
7.40,156.60,03/27/12Z,35,-,TROPICAL STORM
7.60,155.40,03/28/08Z,35,-,TROPICAL STORM
7.60,154.90,03/28/00Z,45,-,TROPICAL STORM
7.60,154.10,03/28/20Z,35,-,TROPICAL STORM
7.50,153.00,03/29/02Z,35,-,TROPICAL STORM
7.30,152.80,03/28/18Z,65,-,TYPHOON-1
7.30,151.80,03/29/00Z,70,-,TYPHOON-1
7.60,150.90,03/29/06Z,75,-,TYPHOON-1
8.00,149.70,03/29/12Z,80,-,TYPHOON-1
8.10,148.30,03/29/18Z,85,-,TYPHOON-2
8.40,146.90,03/30/00Z,85,-,TYPHOON-2
8.80,145.80,03/30/06Z,90,-,TYPHOON-2
9.00,144.80,03/30/12Z,95,-,TYPHOON-2
9.40,143.70,03/30/18Z,125,-,SUPER TYPHOON-4
9.60,142.50,03/31/00Z,125,-,SUPER TYPHOON-4
10.00,141.30,03/31/06Z,140,-,SUPER TYPHOON-5
10.20,139.90,03/31/12Z,140,-,SUPER TYPHOON-5
10.30,138.70,03/31/18Z,140,-,SUPER TYPHOON-5
10.70,137.70,04/01/00Z,140,-,SUPER TYPHOON-5
11.20,136.50,04/01/06Z,130,-,SUPER TYPHOON-4
11.60,135.60,04/01/12Z,130,-,SUPER TYPHOON-4
12.10,134.70,04/01/18Z,120,-,TYPHOON-4
12.40,133.90,04/02/00Z,115,-,TYPHOON-4
12.80,133.30,04/02/06Z,115,-,TYPHOON-4
13.20,132.60,04/02/12Z,105,-,TYPHOON-3
13.70,131.90,04/02/18Z,100,-,TYPHOON-3
14.10,131.10,04/03/00Z,95,-,TYPHOON-2
14.10,130.00,04/03/06Z,85,-,TYPHOON-2
14.20,129.10,04/03/12Z,85,-,TYPHOON-2
14.40,127.80,04/03/18Z,80,-,TYPHOON-1
14.60,126.50,04/04/00Z,75,-,TYPHOON-1
15.20,125.20,04/04/06Z,65,-,TYPHOON-1
15.70,124.20,04/04/12Z,60,-,TROPICAL STORM
15.80,123.30,04/04/18Z,55,-,TROPICAL STORM
16.40,122.50,04/05/00Z,45,-,TROPICAL STORM
16.90,121.60,04/05/06Z,35,-,TROPICAL STORM
17.70,120.50,04/05/12Z,35,-,TROPICAL STORM
18.30,119.10,04/05/18Z,25,-,TROPICAL DEPRESSION
