LAT,LON,TIME,WIND,PR,STAT
21.40,148.00,08/07/00Z,25,-,TROPICAL DEPRESSION
21.90,147.70,08/07/14Z,25,-,TROPICAL DEPRESSION
23.10,147.00,08/07/20Z,25,-,TROPICAL DEPRESSION
23.90,146.70,08/07/12Z,30,-,TROPICAL DEPRESSION
25.20,146.00,08/07/18Z,30,-,TROPICAL DEPRESSION
25.90,144.60,08/08/00Z,30,-,TROPICAL DEPRESSION
26.20,143.40,08/08/06Z,35,-,TROPICAL STORM
26.40,142.20,08/08/12Z,35,-,TROPICAL STORM
27.00,141.50,08/08/18Z,35,-,TROPICAL STORM
27.20,140.80,08/09/00Z,35,-,TROPICAL STORM
27.80,140.70,08/09/06Z,35,-,TROPICAL STORM
28.60,140.60,08/09/12Z,25,-,TROPICAL DEPRESSION
32.20,143.80,08/11/06Z,45,-,TROPICAL STORM
33.00,145.40,08/11/18Z,45,-,TROPICAL STORM
33.60,146.90,08/12/00Z,45,-,TROPICAL STORM
34.10,148.40,08/12/06Z,45,-,TROPICAL STORM
33.80,149.90,08/12/12Z,40,-,TROPICAL STORM
34.10,151.70,08/12/18Z,35,-,TROPICAL STORM
35.20,153.70,08/13/00Z,30,-,TROPICAL DEPRESSION
35.20,153.70,08/13/00Z,50,-,TROPICAL STORM
35.80,155.20,08/13/06Z,45,-,TROPICAL STORM
36.30,156.90,08/13/12Z,40,-,TROPICAL STORM
37.10,159.40,08/13/18Z,35,-,TROPICAL STORM
